,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
10,South Africa,"This classic, iconic Pinotage opens with dense aromas of pressed purple violets, forest berries, raspberry sauce and fudge brownie. The lush and decadent palate offers more of the same, with a crushed velvet texture and final notes of licorice and toasted spice that linger long. It's delicious now, but should hold well through 2022.",Estate Wine,91,40,Simonsberg-Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Kanonkop 2012 Estate Wine Pinotage (Simonsberg-Stellenbosch),Pinotage,Kanonkop
11,Argentina,"Intriguing aromas of lavender, hoja santa and green tobacco blend nicely with blackberry and blueberry scents. This top-flight Bonarda feels lush and only moderately tannic. Blackberry, leather and mild briny flavors finish minty and lightly herbal. Drink now.",,91,30,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,El Enemigo 2012 Bonarda (Mendoza),Bonarda,El Enemigo
12,France,"Always released after a further year's aging, this rich and full-bodied wine is now at its peak. With a dense texture, layers of spice and vanilla as well as intense red fruits, this powerful wine expresses the more complex side of Provence rosé. Drink now.",Les Clans,91,65,Provence,Côtes de Provence,,Roger Voss,@vossroger,Château d'Esclans 2013 Les Clans Rosé (Côtes de Provence),Rosé,Château d'Esclans
13,France,"Produced by the owners of Châteauneuf-du-Pape estate Château Mont-Redon, this is a full and fruity wine. It has a good balance between acidity and red berry fruits that give a rich character. Packed with flavor, it's ready to drink.",,91,17,Provence,Côtes de Provence,,Roger Voss,@vossroger,Château Riotor 2014 Rosé (Côtes de Provence),Rosé,Château Riotor
14,France,"While the wine is really pale in color, it does have a great range of flavors, offering red fruit notes balanced by beautiful acidity and citrus streaks. It's gently textured, giving a good bite to the fruitiness at the end.",,91,,Provence,Côtes de Provence,,Roger Voss,@vossroger,Château Sainte Marguerite 2014 Rosé (Côtes de Provence),Rosé,Château Sainte Marguerite
15,France,"This rich and impressive wine has structure and a firm texture, partly from the Cabernet Sauvignon in the blend (45% Grenache, 35% Syrah, 20% Cabernet Sauvignon). It is dense and full of juicy red fruits, caramel and delicious spice. Production is only 2,500 cases. It would be worth aging for a few more months, so drink from late 2015.",,91,20,Provence,Coteaux d'Aix-en-Provence,,Roger Voss,@vossroger,Château Vignelaure 2014 Rosé (Coteaux d'Aix-en-Provence),Rosé,Château Vignelaure
16,New Zealand,"Classic gooseberry and pink grapefruit notes feature gentle herbal nuances on the nose. There's ample weight and texture on the palate, with a burst of mouthwatering citrus on the finish.",,91,28,Marlborough,,,Joe Czerwinski,@JoeCz,Cloudy Bay 2014 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Cloudy Bay
17,France,"Very fruity and fresh, this wine has crisp apples as well as red fruit giving it a bright, delicious feeling. The acidity goes right through the wine, giving a beautifully fresh feel that points up the fragrant raspberries. Vineyards are in the heart of the sandy soils of the Saint Tropez peninsula.",TwoB,91,20,Provence,Côtes de Provence,,Roger Voss,@vossroger,Domaine de la Bastide Blanche 2014 TwoB Rosé (Côtes de Provence),Rosé,Domaine de la Bastide Blanche
18,France,"Rounded and soft, this rich rosé is fruity while also perfumed. The blending of Syrah in the mix gives the wine a sense of power and concentration, making it an adquate partner at the dinner table.",L'Esprit de Provence,91,20,Provence,Côtes de Provence,,Roger Voss,@vossroger,Domaine du Grand Cros 2014 L'Esprit de Provence Rosé (Côtes de Provence),Rosé,Domaine du Grand Cros
19,France,"This wine is full in the mouth with a taste between pepper and fruit. It's ripe, rounded and tangy with clementine zest as well crisp apples and red currants. It could benefit from a few months in bottle, so drink from late 2015.",VieVité Extraordinaire,91,25,Provence,Côtes de Provence,,Roger Voss,@vossroger,Domaine Sainte-Marie 2014 VieVité Extraordinaire Rosé (Côtes de Provence),Rosé,Domaine Sainte-Marie
20,US,"Only the second vintage of this vineyard-designate wine from an estate property, this bottling offers spicy cherry, black tea and dried herb, backed by oaky backbone and structure. Dark chocolate and leather play on the palate in subtle waves, hitting their strides on the finish. Cellar through 2020.",DCV2 Estate Four Clones Vineyard,91,38,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Dry Creek Vineyard 2012 DCV2 Estate Four Clones Vineyard Zinfandel (Dry Creek Valley),Zinfandel,Dry Creek Vineyard
21,New Zealand,"As typical for Dry River Pinots, this one is pretty surly in its youth. Intense and astringent, it packs layers of dusty black-cherry fruit into a tightly coiled frame. Try after 2019.",,91,120,Martinborough,,,Joe Czerwinski,@JoeCz,Dry River 2013 Pinot Noir (Martinborough),Pinot Noir,Dry River
22,US,"Floral and herbal from the get-go, this medium-bodied white from a great vineyard offers a lot to like. Stainless-steel fermentation gives it a lean underbelly, rounded out by sharp Meyer lemon and tangerine, buoyed by mouthwatering acidity. Green apple and an accent of honey peak on the finish.",Cohen Vineyard Dutton Ranch,91,23,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Dutton Estate 2013 Cohen Vineyard Dutton Ranch Sauvignon Blanc (Russian River Valley),Sauvignon Blanc,Dutton Estate
23,US,"Light in color and weight, this vineyard-designate conveys a wealth of rose petals, earth and bright, crisp red cherry. Compellingly layered and shy, it defines the term ethereal. The finish is medium in length and accented in spicy cardamom.",Keefer Ranch,91,48,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Failla 2013 Keefer Ranch Pinot Noir (Russian River Valley),Pinot Noir,Failla
24,US,"This wine combines fruit from both cool and warm sites, which in the vintage might have both leaned on the warmer side. Black fruit and licorice give it a burly character at first. Decanting or letting the wine open in the glass will help, but still it retains smooth, velvety tannins and resolved oak.",Dichotomy,91,32,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Friedeman 2013 Dichotomy Pinot Noir (Russian River Valley),Pinot Noir,Friedeman
25,New Zealand,"Alluring notes of Asian five spice and wet stone frame ripe cherry aromas in this medium-bodied wine. The texture is firm, becoming faintly dusty on the finish, but the wine is approachable now for its cherry fruit and appealing damp clay quality. Drink now–2018.",Bannockburn,91,50,Central Otago,,,Joe Czerwinski,@JoeCz,Akarua 2012 Bannockburn Pinot Noir (Central Otago),Pinot Noir,Akarua
26,Argentina,"Sweet oak and vanilla aromas are front and center on a jammy bouquet that also features black plum and blackberry scents. This blend of Malbec, Petit Verdot and Tannat feels full, lifted and balanced. Ripe, enticing flavors of wild berry and cassis are backed by toast, chocolate, vanilla and coconut notes as well as heat and burn. Drink through 2019.",Trisagio Malbec-Petit Verdot-Tannat,91,28,Mendoza Province,Valle de Uco,,Michael Schachner,@wineschach,Benvenuto de la Serna 2010 Trisagio Malbec-Petit Verdot-Tannat Red (Valle de Uco),Red Blend,Benvenuto de la Serna
27,New Zealand,"Even Carrick's entry-level wine has turned out well in 2013, offering a sturdy, robust mouthful of dark fruit. Plum, espresso and dark chocolate mingle on the nose and palate, while the finish is long, faintly dusty and mouthwatering. Drink 2017–2025.",Unravelled,91,30,Central Otago,,,Joe Czerwinski,@JoeCz,Carrick 2013 Unravelled Pinot Noir (Central Otago),Pinot Noir,Carrick
28,France,"An addition to the worldwide JCB brand, produced by the Boisset family of Burgundy, this feels rich and sumptuous, full of ripe red fruits and juicy plums. It is also balanced and well structured. Drink this wine with food.",No. 5,91,25,Provence,Côtes de Provence,,Roger Voss,@vossroger,JCB 2014 No. 5 Rosé (Côtes de Provence),Rosé,JCB
29,Portugal,"Heading nicely in the crisp and aromatic direction, this is a light and bright wine. It has a citrus flavor that is balanced by richer pear and plum fruits. The wine is ready to drink.",Bote Chardonnay-Fernão Pires-Vital,85,8,Lisboa,,,Roger Voss,@vossroger,Casca Wines 2015 Bote Chardonnay-Fernão Pires-Vital White (Lisboa),Portuguese White,Casca Wines
30,France,"This soft wine has a gentle texture and smooth white fruits. It is fruity and lightly perfumed. With its crisp edge of acidity, is totally ready to drink.",Grande Réserve du Président,85,15,Burgundy,Mâcon-Villages,,Roger Voss,@vossroger,Cave de Viré 2015 Grande Réserve du Président  (Mâcon-Villages),Chardonnay,Cave de Viré
31,Portugal,"Onion skin orange in color, this is a full and fat wine. It has attractive red-berry fruit and just the right amount of acidity to keep it fresh and crisp. Drink now.",,85,22,Alentejano,,,Roger Voss,@vossroger,Cortes de Cima 2015 Rosé (Alentejano),Rosé,Cortes de Cima
32,Argentina,"Saucy berry and tea aromas are herbal, earthy and stewed. This feels full but syrupy. Flavors of cooked berry, molasses and mocha finish sweet and soupy, with only a touch of acidic offset.",,85,14,Mendoza Province,Tupungato,,Michael Schachner,@wineschach,Domaine Bousquet 2015 Cabernet Sauvignon (Tupungato),Cabernet Sauvignon,Domaine Bousquet
33,Argentina,"Mushy citrus and papaya aromas are waxy and lack pop. Angular and lemony in feel, this varietal white offers a one-note flavor profile based on lemon. A ringing, citric finish affords for a hint of tropical fruit.",,85,25,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Mendel 2015 Semillon (Mendoza),Sémillon,Mendel
34,Portugal,"In a medium sweet style, the wine has a light prickle and fine citrus acidity to balance the soft freshness. It is a refreshing wine, totally drinkable immediately.",Santola,85,8,Vinho Verde,,,Roger Voss,@vossroger,Messias 2015 Santola White (Vinho Verde),Portuguese White,Messias
35,US,"Peach, banana peel and a slight petrol note show mildly on the nose. The round palate boasts tart peach, pineapple rind and bitter lemon zest.",Mont Sec Vineyards,85,14,Texas,Texas,,Alexander Peartree,,Mont Sec 2015 Mont Sec Vineyards Viognier (Texas),Viognier,Mont Sec
36,Italy,"This has aromas that recall leafy underbrush, sawdust and menthol. The dense, oak-driven palate shows licorice, espresso, toast and a hint of bitter chocolate but the fruit has dried up. It abruptly ends on a green note of powdered sage.",Meriame,85,80,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Paolo Manzone 2012 Meriame  (Barolo),Nebbiolo,Paolo Manzone
37,Portugal,"A rose pink colored wine that is dry and with ripe fruit. Its acidity contrasts with the warm red-berry fruit and the edge of tannin. There is a peppery, crisp aftertaste.",Casa de Paços,85,9,Vinho Verde,,,Roger Voss,@vossroger,Quinta de Paços 2015 Casa de Paços Rosé (Vinho Verde),Rosé,Quinta de Paços
38,US,"Light strawberry fruit carries an undertone of dried grass. It turns a little sour in the mouth, but it's fine for the price.",,85,13,Oregon,Oregon,Oregon Other,Paul Gregutt,@paulgwine ,Rascal 2014 Pinot Noir (Oregon),Pinot Noir,Rascal
39,Argentina,"Initial aromas of lychee and jasmine are varietally correct but this struggles to stay fresh and instead turns oily on the nose. A mid-level palate holds nectarine, lychee and oily flavors that turn bitter on the finish.",Reserva,85,17,Other,Salta,,Michael Schachner,@wineschach,Terrazas de Los Andes 2015 Reserva Torrontés (Salta),Torrontés,Terrazas de Los Andes
40,Portugal,"The wine is ripe with apple and creamed pear flavors. It is warm, rich and missing acidity. There is an attractive almond and spice character to this ripe wine. Drink now.",Audaz Branco,85,10,Alentejano,,,Roger Voss,@vossroger,Herdade Grande 2015 Audaz Branco White (Alentejano),Portuguese White,Herdade Grande
41,US,"This wine looks, smells and tastes on the light side. Herb and red-cherry aromas precede rather lean flavors from cherry to clove and dill, and a brisk texture with some tannic grip.",,85,16,California,California,California Other,Jim Gordon,@gordone_cellars,Jack's House 2013 Cabernet Sauvignon (California),Cabernet Sauvignon,Jack's House
42,France,"Here is a simple but tasty Chard, offering attractive notes of pear, spiced orange and toasted apple skin on the nose and mouth. It's light weight and well balanced, with ample acidity and a short but clean finish. Enjoy now.",Bin 068,85,10,France Other,Vin de France,,Lauren Buzzeo,@laurbuzz,Kiwi Cuvée 2014 Bin 068 Chardonnay (Vin de France),Chardonnay,Kiwi Cuvée
43,France,"This is a soft and jammy wine with attractive ripe strawberry fruit and only the lightest structure. It is gentle, rounded and ready to drink.",Mont-Avril,85,22,Burgundy,Côte Chalonnaise,,Roger Voss,@vossroger,Domaine Michel Goubard 2014 Mont-Avril  (Côte Chalonnaise),Pinot Noir,Domaine Michel Goubard
44,France,"This wine is extracted and tough. The acidity does come through to help out, although it still has a hard edge with some bitter toast. It will soften, leaving some perfumed fruit for the future.",,85,40,Burgundy,Chorey-lès-Beaune,,Roger Voss,@vossroger,Domaine Poulleau Père et Fils 2014  Chorey-lès-Beaune,Pinot Noir,Domaine Poulleau Père et Fils
45,Argentina,"Raisiny and earthy on the nose, this Bonarda also offers damp aromas of fern and tobacco. Chunky, with a soft, flat palate, this tastes raisiny and stewed. Low acidity and raisiny flavors on the finish are consistent with what came before.",,85,15,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Durigutti 2014 Bonarda (Mendoza),Bonarda,Durigutti
46,Argentina,"Oily, gritty aromas of almond skins set up a pungent but oily tasting palate. Core fruit flavors lean towards sour grapefruit and orange, while the finish is tangy, salty and sour through the last note.",Don David Reserve,85,17,Other,Calchaquí Valley,,Michael Schachner,@wineschach,El Esteco 2015 Don David Reserve Torrontés (Calchaquí Valley),Torrontés,El Esteco
47,US,"A rare miss for this winery, this bottling shows cooked red cherries, dust, vanilla and caramel on the somewhat hollow nose. The palate is almost overly rich with caramelized black cherry, fudge and chalky tannins. Patience will likely improve this one.",,85,32,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Felten Cellars 2013 Tempranillo (Paso Robles),Tempranillo,Felten Cellars
48,Portugal,"This raspberry-flavored wine is soft and ripe. While it is fruity, it also has a nutty character that gives it a rich taste. It's dry and in a style that will make it better with food than by itself.",Casa Ermelinda Freitas Monte de Baía,85,12,Península de Setúbal,,,Roger Voss,@vossroger,Wines & Winemakers 2015 Casa Ermelinda Freitas Monte de Baía Rosé (Península de Setúbal),Rosé,Wines & Winemakers
49,Argentina,"Roasted, stewed berry aromas are rustic and suggestive of grilled meat. This is high in acidity, and thus it feels sharp and edgy. Flavors of forced oak, related spice and tart plum end with a scraping, tannic feel and herbal berry flavors.",Henry Legarde,85,17,Mendoza Province,Luján de Cuyo,,Michael Schachner,@wineschach,Lagarde 2013 Henry Legarde Malbec (Luján de Cuyo),Malbec,Lagarde
50,Italy,"Roasted coffee bean and menthol aromas lead the nose while the evolved palate offers dark bitter chocolate, licorice and a toasted note. Showing the heat of the vintage, the fruit has largely dried up while astringent tannins lead to a bracing finish.",Riserva,85,102,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Marchesi di Barolo 2009 Riserva  (Barolo),Nebbiolo,Marchesi di Barolo
51,US,"There seems to be a dusty veil over the fruit of this sold, approachable Sangiovese. A bit of sweet spice creeps up on the palate, making it enjoyable by itself or paired alongside pizza Tuesday.",,85,,Texas,Texas,,Alexander Peartree,,McPherson 2014 Sangiovese (Texas),Sangiovese,McPherson
52,France,This light and fruity wine offers soft tannins and an earthy character. The wine comes mainly from Beaujolais with 15% of Pinot Noir from the Mâcon region. Drink now.,,85,10,Burgundy,Coteaux Bourguignons,,Roger Voss,@vossroger,Patriarche Père et Fils 2014  Coteaux Bourguignons,Pinot Noir-Gamay,Patriarche Père et Fils
53,France,"This wine has acidity and a good balance between the fresh, crisp character and the richer yellow fruits. It is ready to drink.",,85,20,Burgundy,Saint-Véran,,Roger Voss,@vossroger,Paul Reitz 2014  Saint-Véran,Chardonnay,Paul Reitz
54,US,"Ripe plum and plenty of vanilla and cherry provide the perception of sweetness in this wine. That sensation may stem from the pushing-the-envelope generosity of the ripe fruit or from the oak. or both. It makes for a full-bodied, heady experience.",Treborce Vineyard,85,33,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Pech Merle 2013 Treborce Vineyard Zinfandel (Dry Creek Valley),Zinfandel,Pech Merle
55,Italy,"This opens with unusual aromas that recall minestrone soup, celery and glazed onion that carry over to the palate. It lacks fruit richness and is rather muddled, offering flavors reminiscent of sweet and sour sauce. Tasted both bottles, same notes.",Campo Quadro Riserva,85,48,Piedmont,Barbaresco,,Kerin O’Keefe,@kerinokeefe,Punset 2011 Campo Quadro Riserva  (Barbaresco),Nebbiolo,Punset
56,Portugal,"The grape is local to the Vidigueira region of the southern Alentejo. Coming from cool vineyards, the wine has a fresh character that is balanced by the ripe melon and juicy pear fruits. It has a crisper end and is ready to drink.",Pato Frio,85,12,Alentejo,,,Roger Voss,@vossroger,Ribafreixo 2015 Pato Frio Antão Vaz (Alentejo),Antão Vaz,Ribafreixo
57,Australia,"Melon and citrus aromas and flavors mingle easily in this cleanly made quaffer. It's a bit plump on the palate, yet refreshing on the lemon-lime finish.",Classic,85,9,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,Jacob's Creek 2015 Classic Pinot Grigio (South Eastern Australia),Pinot Grigio,Jacob's Creek
58,US,"A nice Pinot Noir, dry and elegant, and if it's somewhat one-dimensional, it packs a lot of flavor. With rich raspberry, red licorice, bacon and spice flavors, it's a lovely wine to drink now.",,87,24,California,Sonoma Coast,Sonoma,,,William Knuttel 2007 Pinot Noir (Sonoma Coast),Pinot Noir,William Knuttel
59,US,"The sweet scent of raspberry and strawberry preserves waft from this Cab Franc icewine from Casa Larga. On the palate as well, there's a nice concentration of preserved berry flavors that soar on the palate with a bright, sunny acidity. Finishes clean and long with just a hint of autumn leaves and bramble.",Fiori Delle Stelle Ice Wine,87,75,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Casa Larga 2008 Fiori Delle Stelle Ice Wine Cabernet Franc (Finger Lakes),Cabernet Franc,Casa Larga
60,France,"A soft style of Riesling, with some attractive aromatic white flower character. The fruit is soft, just off dry, freshened by acidity. Screwcap.",Baron de Hoen,87,12,Alsace,Alsace,,Roger Voss,@vossroger,Cave de Beblenheim 2009 Baron de Hoen Riesling (Alsace),Riesling,Cave de Beblenheim
61,US,"Soft and appealing, this Pinot offers lush, elaborate flavors of raspberry and cherry pie filling, mocha and sandalwood flavors, finished with sweet, dusty Indian spices. It's made for drinking now.",Thornton Vineyard,87,45,California,Sonoma Coast,Sonoma,,,De Loach 2008 Thornton Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,De Loach
62,Chile,"A little hard at first, with match stick aromas. After that blows off, there's green fruit notes carrying the nose. Full in the mouth, with acidic cut and spunky flavors of nectarine and orange. Finishes round, with citrus and passion fruit.",347 Vineyards,87,13,Central Valley,,,Michael Schachner,@wineschach,De Martino 2010 347 Vineyards Sauvignon Blanc (Central Valley),Sauvignon Blanc,De Martino
63,France,"Blowsy, lychee aromas, a wine that is ripe, soft, open, with a light touch of acidity. Pepper and sweet spices fit well into this easy profile. Screwcap.",,87,,Alsace,Alsace,,Roger Voss,@vossroger,Dopff Au Moulin 2009 Gewürztraminer (Alsace),Gewürztraminer,Dopff Au Moulin
64,US,"With brisk Edna Valley acidity and intensely pure Chardonnay fruit flavors of tangerines, limes and sweet Meyer lemon sour candy, this is a pleasant sipper with roasted or grilled salmon, or a barbecue chicken or pork skewer with pineapples, green peppers and onions.",Effort,87,22,California,Edna Valley,Central Coast,,,Center of Effort 2008 Effort Chardonnay (Edna Valley),Chardonnay,Center of Effort
65,Spain,"Pulpy and also minerally on the nose, with basic white fruit aromas. Zesty, crisp and defined by slate and lime in the mouth, with apple, lime and dryness to the flavor profile. A composed little white wine for simple sipping or white sangria.",,87,10,Northern Spain,Rioja,,Michael Schachner,@wineschach,El Coto 2010 Viura (Rioja),Viura,El Coto
66,US,"Shows the perfect balance and varietal richness that Anderson Valley Gewürztraminers are known for. With crisp acidity, it has exotic flavors of Asian pears, candied pears, tangerines, gingersnap cookies and dusty spices, with a dry finish. Would score much higher if it were more concentrated.",,87,18,California,Anderson Valley,,,,Handley 2009 Gewürztraminer (Anderson Valley),Gewürztraminer,Handley
67,US,"A good, rich, flashy Zinfandel. There's not much to get excited about, but it delivers Zin's personality in a most attractive way. It's spicy, rich and sweet in cherry, raspberry, cocoa, honey and spice flavors.",,87,35,California,Napa Valley,Napa,,,Kuleto Estate 2008 Zinfandel (Napa Valley),Zinfandel,Kuleto Estate
68,US,"Funky, with mushroom and sweaty leather aromas that can best be described as Burgundian. But it's richly sweet in raspberries and cherries, and the smoky oak is nicely integrated with the fruit. A pleasant Pinot Noir to drink now.",Julia's Vineyard,87,36,California,Santa Maria Valley,Central Coast,,,Lane Tanner 2009 Julia's Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Lane Tanner
69,US,"This is a dry, elegant young Pinot Noir. It's rich in acidity, and the cherry and cola flavors are sprinkled with zesty white pepper. Seems to be giving its best now.",,87,34,California,Sonoma Coast,Sonoma,,,MacRostie 2008 Pinot Noir (Sonoma Coast),Pinot Noir,MacRostie
70,US,"A big burly Syrah from this Temecula producer whose goal it is to become the premier winery of Southern California, the wine is loaded with plummy black fruit and a peppery mouthfeel, its oakiness derived from the almost three years it spent barrel-aging in new French oak. Not for the meek at 15.6% alcohol, it finishes a tad sweet.","Reserve, Vista del Monte Vineyard",87,70,California,Temecula Valley,South Coast,Virginie Boone,@vboone,"Monte De Oro 2006 Reserve, Vista del Monte Vineyard Syrah (Temecula Valley)",Syrah,Monte De Oro
71,US,"The blackberry, blueberry, bacon, pepper and sandalwood flavors are nice, and the wine finishes dry. A good, rich Syrah for drinking now if you're looking for a full-bodied and tannic red wine. Give it a brief decant.",Estate Grown,87,28,California,Dry Creek Valley,Sonoma,,,Mounts 2008 Estate Grown Syrah (Dry Creek Valley),Syrah,Mounts
72,Chile,"Cola, root beer and other earthy aromas open up this full-bodied blend of 70% Cabernet and 30% Carmenère. The palate shows pointed, prickly acidity and flavors of black cherry and cassis. Offers a rich flavor profile but the acidity creates bite and sharpness.",Antu,87,19,Colchagua Valley,,,Michael Schachner,@wineschach,Ninquén 2009 Antu Cabernet Sauvignon-Carmenère (Colchagua Valley),Cabernet Sauvignon-Carmenère,Ninquén
